gene_id,S1.c2,S10.c2,S11.c2,S12.c2,S2.c2,S3.c2,S4.c2,S5.c2,S6.c2,S7.c2,S8.c2,S9.c2
Cers6,1833,2077,1812,1189,1349,742,1377,2209,2036,1798,4167,1947
Gm14023,13,13,7,11,5,3,4,9,0,9,10,19
Bpifb3,0,0,0,0,0,0,0,0,0,0,0,0
Bpifb2,0,0,0,0,0,0,0,0,0,0,0,0
Bpifb1,0,12,28,0,5,87,15,49,84,3,16,29
Olfr1290,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1297,0,0,0,0,0,0,0,0,0,0,0,0
Bpifb6,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1295,0,0,0,0,0,0,0,0,0,0,0,0
Bpifb4,2,0,0,0,0,0,0,0,0,0,0,0
Olfr1299,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1298,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1051,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1053,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1052,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1055,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1054,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1057,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1056,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1058,0,0,0,0,0,0,0,0,0,0,0,0
Mir2861,4,5,5,10,3,2,13,4,4,5,4,13
R3hdml,0,0,0,0,0,0,0,0,0,0,0,0
B2m,22949,42017,36649,24068,22158,9824,22387,91449,100558,74935,155847,35293
Gm14440,1057,1481,948,765,908,434,714,716,702,641,1380,1035
Them7,0,0,0,0,0,0,0,0,0,0,0,0
Gm14151,0,0,0,0,0,0,0,0,0,0,0,0
Samd10,11,17,21,19,21,9,11,10,11,15,21,28
Ubac1,610,640,560,483,583,291,530,569,767,454,994,721
Cstf1,641,677,589,445,465,210,501,589,711,482,1007,629
Cstf3,407,530,400,328,387,204,412,544,640,392,836,419
Gad1os,0,0,0,0,0,0,0,0,0,0,4,0
Ocstamp,0,0,0,0,0,0,0,0,0,0,0,0
Mettl8,128,206,160,138,141,46,141,175,214,124,251,203
Cebpb,11869,9993,7139,8830,8327,428,10922,7696,7625,4599,14405,10837
Acvr1,1796,1467,1701,1257,1765,841,1883,1404,1370,1198,2372,1741
Vps18,972,986,828,713,815,377,741,791,945,560,1321,925
Fubp3,1295,1421,1196,971,1007,548,1133,1311,1458,1127,2321,1207
Mettl5,138,198,128,113,157,72,114,163,136,97,219,152
Slc25a12,1111,1439,1194,926,946,511,1061,1017,1165,778,1519,1380
Rtel1,853,983,784,746,747,294,650,794,997,701,1444,798
Nmt2,1134,1132,1046,973,1089,565,1163,940,1065,839,1759,1153
Aven,270,305,245,190,232,130,242,324,344,190,461,318
Bpifb5,0,0,0,0,0,0,0,0,0,2,0,0
Olfr1294,0,0,0,0,0,0,0,0,0,0,0,0
March7,1087,1349,1100,868,762,521,941,1026,1054,829,1595,1268
Sstr4,0,3,4,5,2,1,2,2,2,0,0,4
Rbck1,2512,2711,2364,2025,2089,992,2012,2235,2487,1561,3590,2744
Rabgap1,1789,2078,1975,1346,1523,805,1695,1699,1867,1415,2848,2037
Npdc1,2667,3476,3156,2838,2436,1166,2460,2215,2580,1531,3142,3457
Spo11,0,0,0,0,0,0,0,0,0,0,0,0
Zswim1,262,303,272,197,234,104,211,236,248,154,368,271
Zswim2,0,0,0,0,0,0,0,0,0,0,0,0
Zswim3,183,173,179,145,130,50,128,142,157,83,215,173
Hoxd3os1,0,0,0,0,0,0,0,0,0,0,0,0
Ppp1r16b,64,58,57,41,25,28,14,65,32,22,107,101
Ndrg3,1520,1874,1747,1271,1348,657,1378,1610,1931,1048,2392,1901
Ttc30a2,181,202,196,128,142,76,147,138,160,92,153,193
Ttc30a1,189,223,216,163,165,85,173,201,234,122,229,243
Madd,395,386,273,319,315,163,305,390,389,257,692,355
H13,4149,4293,4105,3196,3551,1487,3619,4430,4641,3095,7756,4460
Rpap1,929,1012,784,693,798,387,661,917,1095,698,1552,876
Klhl41,0,8,2,0,3,0,2,4,10,0,5,4
4933406J08Rik,0,0,0,0,0,0,0,0,0,0,0,0
Lama5,2253,2378,1839,1750,1231,760,1545,3725,5032,1921,7183,1869
Tshz2,2838,3762,3345,2692,2726,1356,2983,2319,2538,2097,4344,3749
Mir133a-2,0,0,0,0,0,0,0,0,0,0,0,0
Foxs1,137,157,202,140,155,83,177,195,256,71,260,175
Sall4,0,0,0,0,0,0,0,0,0,0,0,0
Arhgap11a,50,78,47,37,66,25,58,206,378,252,340,48
Stx16,816,1726,1277,1303,1494,630,1389,1355,1423,1072,2318,1529
4930443O20Rik,0,0,5,3,0,0,3,0,0,4,10,0
Slc17a9,31,58,23,32,43,6,29,81,95,80,166,24
Srms,0,5,0,0,0,0,0,0,0,4,3,0
P2rx3,2,0,3,6,8,2,4,6,8,3,14,0
Olfr1197,0,0,0,0,0,0,0,0,0,0,0,0
Spint3,0,0,0,0,0,0,0,0,0,0,0,0
Spint1,0,4,6,0,0,2,8,2,6,0,10,5
Spint4,0,0,0,0,0,0,0,0,0,0,0,0
8030442B05Rik,0,5,3,0,0,0,0,3,0,0,0,0
Psmd5,917,1134,893,704,777,426,868,1063,1222,737,1545,987
Ralgps1,117,169,136,129,154,66,144,84,103,46,160,173
Mir147,0,1,1,2,0,1,1,1,1,1,1,1
Agpat2,653,692,610,533,535,272,589,685,723,539,1357,713
Stam,1098,1281,1122,922,1062,581,1022,1074,1065,723,1561,1215
Lcn5,0,0,0,0,0,0,0,0,0,0,0,0
Lcn4,0,0,0,0,0,0,0,0,0,0,0,0
Lcn6,0,0,0,0,0,0,0,0,0,0,0,0
Lcn3,0,0,0,0,0,0,0,0,0,0,0,0
Itpripl1,151,172,189,135,158,64,179,164,245,129,298,147
Prpf18,1223,1472,1201,950,1180,545,1063,1058,1135,818,1712,1418
Lcn9,0,0,0,0,0,0,0,0,0,0,0,0
Lcn8,0,0,0,0,0,0,0,0,0,0,0,0
Tmem203,307,362,293,209,233,127,216,249,274,218,373,299
Gm16796,0,0,0,0,0,0,0,0,0,0,0,0
Mir3089,0,0,0,1,0,0,0,0,0,0,1,1
Nron,0,0,0,0,0,0,0,0,0,0,0,0
Zfp442,144,169,111,84,91,33,111,123,157,90,157,127
BC039771,0,41,33,20,2,0,42,33,3,0,55,0
Slc27a4,1451,1351,1460,1134,1403,619,1400,1459,1654,880,2354,1532
Slc27a2,0,0,0,0,0,0,0,0,0,0,0,0
Uck1,2078,2253,1803,1626,1657,751,1580,1346,1367,795,1884,2188
Abo,0,0,0,0,0,0,0,0,0,0,0,0
Fign,282,334,249,219,220,100,251,279,325,231,529,322
Dfnb59,0,0,0,0,0,0,0,0,0,0,2,0
