transcript_id,S1.c2,S10.c2,S11.c2,S12.c2,S2.c2,S3.c2,S4.c2,S5.c2,S6.c2,S7.c2,S8.c2,S9.c2
NM_026615,724,902,804,554,711,305,577,860,919,584,1309,825
NM_026613,267,354,296,229,225,127,236,331,515,279,457,309
NM_016866,344,511,430,341,381,208,408,405,514,406,657,448
NM_001033123,0,0,0,0,0,0,0,0,0,0,0,0
NM_001291201,52,0,0,0,0,0,205,52,0,29,38,39
NM_001080820,1135,1003,721,371,636,187,792,633,755,341,814,857
NM_001291203,57,183,154,71,102,61,325,321,219,103,347,324
NM_001291202,52,202,131,91,134,52,365,79,114,86,150,125
NM_001291205,3,2,1,1,2,0,1,0,1,1,5,2
NM_001291204,55,39,52,41,75,0,308,35,40,43,68,56
NM_001291207,66,58,53,0,0,0,0,53,68,0,0,293
NM_024185,590,700,613,485,538,269,559,699,721,464,1152,570
NM_001291209,0,0,0,0,29,0,0,32,0,22,101,0
NM_021426,302,306,209,178,360,170,342,160,242,166,338,298
NM_025516,4278,5170,4794,3594,4189,1951,4209,4393,4923,3125,6443,5117
NM_029723,0,0,0,0,0,0,0,0,0,0,0,0
NM_001289709,73,134,12,88,61,84,102,81,62,10,68,11
NM_016902,217,315,203,249,129,0,255,275,120,185,407,261
NR_040635,0,0,0,0,0,0,0,0,0,0,0,0
NM_024181,4896,6367,5447,3699,4525,2197,4370,4896,5870,3816,6969,5814
NM_026271,1266,1289,1370,1141,1170,758,1145,1313,1172,1026,2028,1690
NR_035432,1,1,1,1,1,1,1,1,1,1,1,1
NR_035480,0,0,0,0,0,1,1,0,0,1,0,0
NR_106083,0,0,0,0,0,0,0,0,0,0,1,0
NR_106081,0,0,0,0,0,0,0,0,0,0,0,0
NR_106080,0,0,0,0,0,0,0,0,0,0,0,0
NM_010923,59,121,106,114,72,30,48,317,465,322,453,54
NM_198617,306,455,398,267,310,136,309,271,295,211,380,431
NM_001289678,351,386,516,414,566,295,300,331,428,7,296,371
NR_036629,0,0,0,0,0,0,0,0,0,0,0,0
NM_001291200,2086,2465,2258,1674,1813,878,374,1553,1792,1105,2402,2274
NM_001289677,0,0,0,0,0,0,0,0,0,0,0,0
NM_001111292,256,201,185,143,217,100,258,924,1063,219,312,110
NM_001111291,213,163,147,113,156,85,206,734,857,154,191,73
NM_028521,353,499,421,311,372,161,346,392,409,261,565,432
NM_001276489,13339,13752,12233,8335,10898,5028,12084,12043,11751,11978,21957,12560
NM_025922,591,804,594,497,588,254,563,850,1063,594,1317,724
NM_177610,0,0,0,0,0,0,0,0,0,0,0,0
NM_001164791,3411,3604,2977,2341,3014,1221,2658,2140,2279,1627,3405,3296
NR_102348,0,0,0,0,0,0,0,0,0,0,0,0
NR_102349,0,0,0,0,0,0,0,0,0,0,0,0
NM_153781,2234,2485,2380,2070,2387,1177,2448,1996,2464,1449,2908,2727
NM_001083809,61,209,190,183,40,62,119,46,78,171,112,69
NM_001291206,132,8,11,171,13,132,124,28,265,2,333,8
NM_008980,0,0,0,0,0,0,0,0,0,0,3,0
NM_020515,0,0,0,0,0,0,0,0,0,0,0,0
NM_172860,990,930,873,947,851,528,963,720,615,633,1296,986
NR_105752,0,0,0,0,1,0,0,0,0,0,0,0
NR_105753,0,0,0,0,0,0,0,0,0,0,0,0
NM_021022,0,0,0,0,0,0,0,5,0,0,8,0
NR_105751,0,0,0,0,0,0,0,0,0,0,0,0
NR_105757,0,0,0,0,0,0,0,0,0,0,0,0
NR_105754,0,0,0,0,0,0,0,0,0,0,0,0
NM_001291208,0,0,0,0,0,0,0,0,0,0,0,0
NM_020283,109,257,170,124,134,67,122,195,241,134,207,225
NR_105758,2,1,1,0,1,0,0,0,0,0,0,0
NR_106155,0,0,0,0,0,0,0,0,0,0,0,0
NM_030055,0,0,0,0,0,0,0,0,0,0,0,0
NR_106156,0,0,0,0,0,0,0,0,0,0,0,0
NM_008019,5376,6182,5117,3766,4966,2180,5082,5797,6923,4349,8663,5745
NM_001289453,0,0,0,0,0,0,0,0,0,0,0,0
NM_001289455,0,0,0,0,0,0,0,0,0,0,0,0
NM_001289454,0,0,0,0,0,0,0,0,0,0,0,0
NM_001289456,0,0,0,0,0,0,0,0,0,0,0,0
NM_138655,0,0,0,0,0,0,0,0,0,0,0,0
NM_028984,0,189,258,0,302,0,0,309,0,196,188,271
NM_028986,829,1066,868,681,774,396,716,759,778,597,1207,973
NM_138651,6015,2587,5765,4390,4829,2625,5303,4348,3923,3242,7688,7210
NM_001284376,0,0,0,0,0,0,0,0,0,0,0,0
NM_007699,0,9,9,10,3,3,8,7,4,2,8,7
NM_001284374,0,0,0,0,0,0,0,0,0,0,0,0
NM_001284373,401,327,455,260,177,0,0,260,266,318,613,244
NM_001284372,316,197,0,81,173,0,0,211,227,261,425,135
NM_001284371,60,55,82,75,38,89,119,56,93,57,113,108
NM_001284370,8,9,0,31,11,0,55,56,63,11,71,48
NM_001081171,2253,2378,1839,1750,1231,760,1545,3725,5032,1921,7183,1869
NM_145369,0,0,0,0,0,0,0,0,0,0,0,0
NM_001164663,12433,10973,9966,8337,9078,4772,10673,7219,6736,5203,12419,12423
NM_001252573,0,1047,0,0,0,361,0,1,0,23,1165,0
NM_172267,935,1457,750,1077,1128,424,718,599,524,534,2050,1327
NR_029541,0,0,0,0,0,0,0,1,0,0,1,0
NM_010582,211,266,305,245,299,150,343,117,131,97,136,322
